"country","date","vaccines","daily_vaccinations"
"Argentina","12/29/2020","Sputnik V","11645"
"Argentina","12/30/2020","Sputnik V","15656"
"Argentina","12/31/2020","Sputnik V","15656"
"Argentina","1/1/2021","Sputnik V","11070"
"Argentina","1/2/2021","Sputnik V","8776"
"Argentina","1/3/2021","Sputnik V","7400"
"Argentina","1/4/2021","Sputnik V","6483"
"Argentina","1/5/2021","Sputnik V","7984"
"Argentina","1/6/2021","Sputnik V","8173"
"Argentina","1/7/2021","Sputnik V","8363"
"Argentina","1/8/2021","Sputnik V","10519"
"Argentina","1/9/2021","Sputnik V","11942"
"Argentina","1/10/2021","Sputnik V","13365"
"Argentina","1/11/2021","Sputnik V","14788"
"Argentina","1/12/2021","Sputnik V","14056"
"Argentina","1/13/2021","Sputnik V","13323"
"Argentina","1/14/2021","Sputnik V","13320"
"Argentina","1/15/2021","Sputnik V","13317"
"Argentina","1/16/2021","Sputnik V","12971"
"Argentina","1/17/2021","Sputnik V","12624"
"Argentina","1/18/2021","Sputnik V","12278"
"Argentina","1/19/2021","Sputnik V","11932"
"Argentina","1/20/2021","Sputnik V","11586"
"Argentina","1/21/2021","Sputnik V","11704"
"Argentina","1/22/2021","Sputnik V","11263"
"Argentina","1/23/2021","Sputnik V","11124"
"Argentina","1/24/2021","Sputnik V","10342"
"Argentina","1/25/2021","Sputnik V","9046"
"Austria","1/5/2021","Pfizer/BioNTech","7850"
"Austria","1/6/2021","Pfizer/BioNTech","3368"
"Austria","1/7/2021","Pfizer/BioNTech","3368"
"Austria","1/8/2021","Pfizer/BioNTech","7263"
"Austria","1/9/2021","Pfizer/BioNTech","5791"
"Austria","1/10/2021","Pfizer/BioNTech","4705"
"Austria","1/11/2021","Pfizer/BioNTech","5031"
"Austria","1/12/2021","Pfizer/BioNTech","6366"
"Austria","1/13/2021","Pfizer/BioNTech","7365"
"Austria","1/14/2021","Pfizer/BioNTech","8429"
"Austria","1/15/2021","Pfizer/BioNTech","7747"
"Austria","1/16/2021","Pfizer/BioNTech","7953"
"Austria","1/17/2021","Pfizer/BioNTech","10129"
"Austria","1/18/2021","Pfizer/BioNTech","11852"
"Austria","1/19/2021","Pfizer/BioNTech","12472"
"Austria","1/20/2021","Pfizer/BioNTech","12489"
"Austria","1/21/2021","Pfizer/BioNTech","12552"
